"Item#","Year","Make","Model","Mi/Hr","VIN","Score","Online Bid","Vehicle Doc"
"","2021","POLARIS","RZR XP 1000 (ELECTRIC POWER STEERING)","OHV1110","OHVNV000807","76","","SALE DOCS"
"","2014","KAWASAKI","ULTRA 310X","40H","KAW60339B414","73","","AZ REG CMG"
"","2020","POLARIS","SLINGSHOT SL","2661","57XAAPHD7L8138245","","","SALE DOCS"
"","2021","KAWASAKI","EX400GMFNL NINJA 400 (ABS)","2652","JKAEXKG19MDAD0214","77","","SALE DOCS"
"","2024","CAN-AM","MAVERICK X3 MAX DS TURBO","OHV959","3JBVMAY45RE000994","","","TX TITLE"
"","2023","CAN-AM","MAVERICK X3 MAX X RS TURBO RR WITH SMART-SHOX 72","OHV624","3JBVNAV42PE000708","79","","SALE DOCS"
"","2021","KAWASAKI","ZX636HMFNL NINJA ZX-6R","BATT","JKBZXJH18MA009461","","","SALE DOCS"
"","2020","KAWASAKI","EN650CLF VULCAN S","27646","JKAENEC12LDA02920","72","","CA TITLE"
"","2016","KAWASAKI","EX650FGF NINJA 650 (ABS)","15448","JKAEXEF11GDA25374","","","CA TITLE"
"","2004","KAWASAKI","VN800B9 VULCAN CLASSIC","24932","JKBVNCB114B521551","56","","TITLE CMG"
"","2018","KAWASAKI","KL650EJF KLR 650","5802","JKAKLEE16JDA98103","82","","SALE DOCS"
"","2018","CAN-AM","MAVERICK X3 MAX X RS TURBO R","OHV6844","3JBVNAW45JK003884","70","","TITLE CMG"
"","2024","POLARIS","XPEDITION XP ULTIMATE","OHV264","3NSG2K992RM403301","77","","TITLE CMG"
"","2022","POLARIS","SLINGSHOT R","7137","57XAARGB9N8148564","","","SALE DOCS"
"","2021","POLARIS","RZR XP 4 1000 PREMIUM","OHV1970","3NSN4K991MH658721","","","CA TITLE"
"","2024","POLARIS","RZR XP 4 1000 ULTIMATE","OHV1825","3NSNMF992RF295842","72","","TITLE CMG"
"","2019","CAN-AM","SPYDER F3 LIMITED SE6","5737","2BXREDD2XKV001782","78","","TITLE CMG"
"","2021","CAN-AM","MAVERICK X3 MAX DS TURBO","OHV1059","3JBVMAY24MK000736","73","","SALE DOCS"
"","2023","KAWASAKI","EX400HPFNN NINJA 400","16685","JKAEXKH16PDAP5554","56","","SALE DOCS"
"","2022","CAN-AM","MAVERICK X3 MAX X RS TURBO RR","OHV2070","3JBVNAV23NE000700","71","","SALE DOCS"
"","2021","POLARIS","RZR XP 4 TURBO","OHV2818","3NSN4E92XMF587874","72","","SALE DOCS"
"","2022","POLARIS","RZR PRO XP 4 ULTIMATE","OHV265","3NSM4D927NF354414","82","","SALE DOCS"
"","2021","POLARIS","SLINGSHOT S WITH TECHNOLOGY PACKAGE AUTODRIVE","2332","57XAATHD8M8140600","74","","SALE DOCS"
"","2022","CAN-AM","- UNKNOWN -","1128","3JB2JEG28NJ003795","","","SALE DOCS"
"","2022","CAN-AM","MAVERICK X3 MAX X RS TURBO RR SMART-SHOX","1056","3JBVNAV42NE006070","","","SALE DOCS"
"","2021","CAN-AM","MAVERICK X3 MAX X RS TURBO RR","BATT","3JBVNAV23MK001880","","","CA TITLE"
"","2021","CAN-AM","MAVERICK X3 MAX X RS TURBO RR","OHV2333","3JBVNAV49MK008365","","","AZ TITLE"
"","2021","CAN-AM","- UNKNOWN -","OHV3643","3JBVEAV25MK000049","","","CA TITLE"
"","2018","CAN-AM","MAVERICK X3 TURBO","OHV","3JBVGAY27JK000054","","","CA TITLE"
"","2019","POLARIS","RANGER CREW 570-4","OHV4205","3NSRNA578KE750064","67","","TITLE CMG"
"","2024","KAWASAKI","Z900 ABS","2515","ML5ZRDF14RDA67451","84","","CA TITLE"
"","2021","KAWASAKI","KRF1000AMFNL TERYX KRX 1000","OHV4306","JKARFCA13MB508160","57","","CA TITLE"
"","2022","KAWASAKI","EX650NNFNN NINJA 650","5173","ML5EXEN15NDA51393","73","","TITLE CMG"
"","2025","CAN-AM","MAVERICK X3 MAX DS TURBO (RED & SILVER)","OHV766","3JBVMAY26SE000118","83","","CA TITLE CMG"
"","2024","KAWASAKI","TERYX KRX 1000 TRAIL EDITION","OHV4569","JKARFCB10RB505321","67","","SALE DOCS"
"","2025","KAWASAKI","ZX636JSFAL NINJA ZX-6R KRT (ABS)","11252","JKBZXJJ19SA017687","76","","AZ TITLE"
"","2019","POLARIS","RZR XP 4 1000 (ELECTRIC POWER STEERING)","OHV6827","3NSVFE995KF424439","61","","CA TITLE"
"","2023","POLARIS","RZR XP 4 1000 ULTIMATE","OHV5515","3NSN4K997PH427357","74","","MSO"
"","2022","POLARIS","SLINGSHOT R","2298","57XAARGB7N8148692","","","SALE DOCS"
"","2024","KAWASAKI","ZX636JRAL NINJA ZX-6R (ABS)","261","JKBZXJJ15RA009337","86","","TITLE CMG"
"","2023","POLARIS","RZR XP 4 1000 ULTIMATE","OHV4727","3NSN4K992PH431638","69","","MSO"
"","2022","KAWASAKI","EX650NNFNN NINJA 650","4134","ML5EXEN16NDA60443","79","","SALE DOCS"
"","2023","CAN-AM","RYKER 900 ACE","282","3JB2FEG22PJ003005","78","","CA TITLE"
"","2024","CAN-AM","MAVERICK X3 MAX X RS TURBO RR","OHV1868","3JBVNAV27RE001189","64","","CA TITLE"
"","2024","SEADOO/BRP","WAKE 170 SOUND SYSTEM","26HR","YDV68853D424","87","","SALE DOCS"
"","2023","SEADOO/BRP","SPARK 3UP TRIXX","17HR","YDV99067E323","79","","NV TITLES PWC/TRL"
"","2021","POLARIS","RZR TURBO S 4","OHV1541","3NSP4L924MF144472","71","","AZ TITLE"
